target,location,truth_date,year_week,value,data_source
ILI incidence,BE,2023-01-15,2023-W02,403.6,ERVISS
ILI incidence,BE,2023-01-08,2023-W01,602.1,ERVISS
ILI incidence,BE,2023-01-01,2022-W52,662.6,ERVISS
ILI incidence,BE,2022-12-25,2022-W51,763.6,ERVISS
ILI incidence,BE,2022-12-18,2022-W50,560.7,ERVISS
ILI incidence,BE,2022-12-11,2022-W49,219.0,ERVISS
ILI incidence,BE,2022-12-04,2022-W48,186.4,ERVISS
ILI incidence,BE,2022-11-27,2022-W47,165.9,ERVISS
ILI incidence,BE,2022-11-20,2022-W46,120.7,ERVISS
ILI incidence,BE,2022-11-13,2022-W45,82.5,ERVISS
ILI incidence,BE,2022-11-06,2022-W44,64.2,ERVISS
ILI incidence,BE,2022-10-30,2022-W43,80.4,ERVISS
ILI incidence,BE,2022-10-23,2022-W42,149.1,ERVISS
ILI incidence,BE,2022-10-16,2022-W41,124.2,ERVISS
ILI incidence,BE,2022-10-09,2022-W40,174.9,ERVISS
ILI incidence,BE,2022-10-02,2022-W39,158.4,ERVISS
ILI incidence,BE,2022-09-25,2022-W38,175.6,ERVISS
ILI incidence,BE,2022-09-18,2022-W37,104.4,ERVISS
ILI incidence,BE,2022-09-11,2022-W36,44.3,ERVISS
ILI incidence,BE,2022-09-04,2022-W35,79.3,ERVISS
ILI incidence,BE,2022-08-28,2022-W34,76.2,ERVISS
ILI incidence,BE,2022-08-21,2022-W33,57.5,ERVISS
ILI incidence,BE,2022-08-14,2022-W32,79.5,ERVISS
ILI incidence,BE,2022-08-07,2022-W31,91.5,ERVISS
ILI incidence,BE,2022-07-31,2022-W30,114.3,ERVISS
ILI incidence,BE,2022-07-24,2022-W29,57.5,ERVISS
ILI incidence,BE,2022-07-17,2022-W28,76.2,ERVISS
ILI incidence,BE,2022-07-10,2022-W27,127.6,ERVISS
ILI incidence,BE,2022-07-03,2022-W26,167.5,ERVISS
ILI incidence,BE,2022-06-26,2022-W25,146.0,ERVISS
ILI incidence,BE,2022-06-19,2022-W24,106.3,ERVISS
ILI incidence,BE,2022-06-12,2022-W23,55.2,ERVISS
ILI incidence,BE,2022-06-05,2022-W22,53.4,ERVISS
ILI incidence,BE,2022-05-29,2022-W21,52.4,ERVISS
ILI incidence,BE,2022-05-22,2022-W20,88.4,ERVISS
ILI incidence,BE,2022-05-15,2022-W19,205.0,ERVISS
ILI incidence,BE,2022-05-08,2022-W18,151.2,ERVISS
ILI incidence,BE,2022-05-01,2022-W17,232.7,ERVISS
ILI incidence,BE,2022-04-24,2022-W16,214.2,ERVISS
ILI incidence,BE,2022-04-17,2022-W15,307.0,ERVISS
ILI incidence,BE,2022-04-10,2022-W14,426.2,ERVISS
ILI incidence,BE,2022-04-03,2022-W13,806.8,ERVISS
ILI incidence,BE,2022-03-27,2022-W12,741.6,ERVISS
ILI incidence,BE,2022-03-20,2022-W11,482.0,ERVISS
ILI incidence,BE,2022-03-13,2022-W10,436.5,ERVISS
ILI incidence,BE,2022-03-06,2022-W09,261.3,ERVISS
ILI incidence,BE,2022-02-27,2022-W08,195.6,ERVISS
ILI incidence,BE,2022-02-20,2022-W07,242.9,ERVISS
ILI incidence,BE,2022-02-13,2022-W06,230.5,ERVISS
ILI incidence,BE,2022-02-06,2022-W05,388.6,ERVISS
ILI incidence,BE,2022-01-30,2022-W04,570.8,ERVISS
ILI incidence,BE,2022-01-23,2022-W03,596.9,ERVISS
ILI incidence,BE,2022-01-16,2022-W02,341.2,ERVISS
ILI incidence,BE,2022-01-09,2022-W01,174.9,ERVISS
ILI incidence,BE,2022-01-02,2021-W52,173.2,ERVISS
ILI incidence,BE,2021-12-26,2021-W51,120.7,ERVISS
ILI incidence,BE,2021-12-19,2021-W50,142.3,ERVISS
ILI incidence,BE,2021-12-12,2021-W49,270.5,ERVISS
ILI incidence,BE,2021-12-05,2021-W48,417.9,ERVISS
ILI incidence,BE,2021-11-28,2021-W47,382.7,ERVISS
ILI incidence,BE,2021-11-21,2021-W46,230.7,ERVISS
ILI incidence,BE,2021-11-14,2021-W45,285.0,ERVISS
ILI incidence,BE,2021-11-07,2021-W44,273.9,ERVISS
ILI incidence,BE,2021-10-31,2021-W43,155.6,ERVISS
ILI incidence,BE,2021-10-24,2021-W42,175.2,ERVISS
ILI incidence,BE,2021-10-17,2021-W41,91.6,ERVISS
ILI incidence,BE,2021-10-10,2021-W40,100.0,ERVISS
ILI incidence,BE,2021-10-03,2021-W39,116.4,ERVISS
ILI incidence,BE,2021-09-26,2021-W38,70.8,ERVISS
ILI incidence,BE,2021-09-19,2021-W37,82.8,ERVISS
ILI incidence,BE,2021-09-12,2021-W36,53.1,ERVISS
ILI incidence,BE,2021-09-05,2021-W35,38.4,ERVISS
ILI incidence,BE,2021-08-29,2021-W34,70.1,ERVISS
ILI incidence,BE,2021-08-22,2021-W33,36.9,ERVISS
ILI incidence,BE,2021-08-15,2021-W32,36.0,ERVISS
ILI incidence,BE,2021-08-08,2021-W31,41.0,ERVISS
ILI incidence,BE,2021-08-01,2021-W30,39.2,ERVISS
ILI incidence,BE,2021-07-25,2021-W29,28.2,ERVISS
ILI incidence,BE,2021-07-18,2021-W28,24.2,ERVISS
ILI incidence,BE,2021-07-11,2021-W27,29.6,ERVISS
ILI incidence,BE,2021-07-04,2021-W26,18.4,ERVISS
ILI incidence,BE,2021-06-27,2021-W25,26.7,ERVISS
ILI incidence,HR,2026-02-15,2026-W07,6.0,ERVISS
ILI incidence,HR,2026-02-08,2026-W06,10.1,ERVISS
ILI incidence,HR,2026-02-01,2026-W05,17.1,ERVISS
ILI incidence,HR,2026-01-25,2026-W04,26.2,ERVISS
ILI incidence,HR,2026-01-18,2026-W03,38.3,ERVISS
ILI incidence,HR,2026-01-11,2026-W02,54.4,ERVISS
ILI incidence,HR,2026-01-04,2026-W01,97.1,ERVISS
ILI incidence,HR,2025-12-28,2025-W52,122.0,ERVISS
ILI incidence,HR,2025-12-21,2025-W51,260.4,ERVISS
ILI incidence,HR,2025-12-14,2025-W50,182.5,ERVISS
ILI incidence,HR,2025-12-07,2025-W49,85.4,ERVISS
ILI incidence,HR,2025-11-30,2025-W48,31.9,ERVISS
ILI incidence,HR,2025-11-23,2025-W47,20.2,ERVISS
ILI incidence,HR,2025-11-16,2025-W46,14.3,ERVISS
ILI incidence,HR,2025-11-09,2025-W45,10.3,ERVISS
ILI incidence,HR,2025-11-02,2025-W44,6.9,ERVISS
ILI incidence,HR,2025-10-26,2025-W43,4.4,ERVISS
ILI incidence,HR,2025-10-19,2025-W42,2.7,ERVISS
ILI incidence,HR,2025-10-12,2025-W41,1.2,ERVISS
ILI incidence,HR,2025-10-05,2025-W40,1.0,ERVISS
ILI incidence,HR,2025-09-21,2025-W38,1.1,ERVISS
ILI incidence,HR,2025-09-14,2025-W37,0.9,ERVISS
ILI incidence,HR,2025-09-07,2025-W36,0.6,ERVISS
ILI incidence,HR,2025-08-31,2025-W35,0.6,ERVISS
ILI incidence,HR,2025-08-24,2025-W34,0.7,ERVISS
ILI incidence,HR,2025-08-17,2025-W33,0.2,ERVISS
ILI incidence,HR,2025-08-10,2025-W32,0.1,ERVISS
ILI incidence,HR,2025-08-03,2025-W31,0.2,ERVISS
ILI incidence,HR,2025-07-27,2025-W30,0.2,ERVISS
ILI incidence,HR,2025-07-20,2025-W29,0.2,ERVISS
ILI incidence,HR,2025-07-13,2025-W28,0.0,ERVISS
ILI incidence,HR,2025-07-06,2025-W27,0.1,ERVISS
ILI incidence,HR,2025-06-29,2025-W26,0.1,ERVISS
ILI incidence,HR,2025-06-22,2025-W25,0.1,ERVISS
ILI incidence,HR,2025-06-15,2025-W24,0.1,ERVISS
ILI incidence,HR,2025-06-08,2025-W23,0.3,ERVISS
ILI incidence,HR,2025-06-01,2025-W22,0.2,ERVISS
ILI incidence,HR,2025-05-25,2025-W21,0.1,ERVISS
ILI incidence,HR,2025-05-18,2025-W20,0.6,ERVISS
ILI incidence,HR,2025-05-04,2025-W18,0.4,ERVISS
ILI incidence,HR,2025-04-27,2025-W17,1.9,ERVISS
ILI incidence,HR,2025-04-20,2025-W16,2.7,ERVISS
ILI incidence,HR,2025-04-13,2025-W15,3.6,ERVISS
ILI incidence,HR,2025-04-06,2025-W14,6.8,ERVISS
ILI incidence,HR,2025-03-30,2025-W13,12.3,ERVISS
ILI incidence,HR,2025-03-23,2025-W12,20.4,ERVISS
ILI incidence,HR,2025-03-16,2025-W11,39.3,ERVISS
ILI incidence,HR,2025-03-09,2025-W10,56.1,ERVISS
ILI incidence,HR,2025-03-02,2025-W09,92.9,ERVISS
ILI incidence,HR,2025-02-23,2025-W08,120.2,ERVISS
