target,location,truth_date,year_week,value
ILI incidence,AT,2022-12-25,2022-W51,5322.7
ILI incidence,AT,2022-12-18,2022-W50,5849.3
ILI incidence,AT,2022-12-11,2022-W49,4338.0
ILI incidence,AT,2022-12-04,2022-W48,4105.3
ILI incidence,AT,2022-11-27,2022-W47,3043.8
ILI incidence,AT,2022-11-20,2022-W46,2665.7
ILI incidence,AT,2022-11-13,2022-W45,2335.6
ILI incidence,AT,2022-11-06,2022-W44,1474.3
ILI incidence,AT,2022-10-30,2022-W43,1274.3
ILI incidence,AT,2022-10-23,2022-W42,1685.2
ILI incidence,AT,2022-10-16,2022-W41,1740.8
ILI incidence,AT,2022-10-09,2022-W40,1183.0
ILI incidence,AT,2022-04-17,2022-W15,540.7
ILI incidence,AT,2022-04-10,2022-W14,1207.7
ILI incidence,AT,2022-04-03,2022-W13,1044.6
ILI incidence,AT,2022-03-27,2022-W12,1387.2
ILI incidence,AT,2022-03-20,2022-W11,1264.3
ILI incidence,AT,2022-03-06,2022-W09,996.2
ILI incidence,AT,2022-02-27,2022-W08,757.8
ILI incidence,AT,2022-02-20,2022-W07,1042.0
ILI incidence,AT,2022-02-13,2022-W06,1054.1
ILI incidence,AT,2022-02-06,2022-W05,1260.2
ILI incidence,AT,2022-01-30,2022-W04,1128.0
ILI incidence,AT,2022-01-23,2022-W03,996.7
ILI incidence,AT,2022-01-16,2022-W02,1122.6
ILI incidence,AT,2022-01-09,2022-W01,1068.6
ILI incidence,AT,2022-01-02,2021-W52,662.3
ILI incidence,AT,2021-12-26,2021-W51,518.0
ILI incidence,AT,2021-12-19,2021-W50,1765.8
ILI incidence,AT,2021-12-12,2021-W49,735.2
ILI incidence,AT,2021-12-05,2021-W48,865.2
ILI incidence,AT,2021-11-28,2021-W47,1067.6
ILI incidence,AT,2021-11-21,2021-W46,1220.0
ILI incidence,AT,2021-11-14,2021-W45,1159.8
ILI incidence,AT,2021-11-07,2021-W44,1388.5
ILI incidence,AT,2021-10-31,2021-W43,1558.6
ILI incidence,AT,2021-10-24,2021-W42,1689.7
ILI incidence,AT,2021-10-17,2021-W41,1365.5
ILI incidence,AT,2021-10-10,2021-W40,711.3
ILI incidence,BE,2026-02-15,2026-W07,436.9
ILI incidence,BE,2026-02-08,2026-W06,594.7
ILI incidence,BE,2026-02-01,2026-W05,598.2
ILI incidence,BE,2026-01-25,2026-W04,660.6
ILI incidence,BE,2026-01-18,2026-W03,486.9
ILI incidence,BE,2026-01-11,2026-W02,379.7
ILI incidence,BE,2026-01-04,2026-W01,220.7
ILI incidence,BE,2025-12-28,2025-W52,44.5
ILI incidence,BE,2025-12-21,2025-W51,129.4
ILI incidence,BE,2025-12-14,2025-W50,136.4
ILI incidence,BE,2025-12-07,2025-W49,195.6
ILI incidence,BE,2025-11-30,2025-W48,95.2
ILI incidence,BE,2025-11-23,2025-W47,162.8
ILI incidence,BE,2025-11-16,2025-W46,82.8
ILI incidence,BE,2025-11-09,2025-W45,101.0
ILI incidence,BE,2025-11-02,2025-W44,81.5
ILI incidence,BE,2025-10-26,2025-W43,99.9
ILI incidence,BE,2025-10-19,2025-W42,145.1
ILI incidence,BE,2025-10-12,2025-W41,213.3
ILI incidence,BE,2025-10-05,2025-W40,216.5
ILI incidence,BE,2025-09-28,2025-W39,127.2
ILI incidence,BE,2025-09-21,2025-W38,145.5
ILI incidence,BE,2025-09-14,2025-W37,93.3
ILI incidence,BE,2025-09-07,2025-W36,81.1
ILI incidence,BE,2025-08-31,2025-W35,34.3
ILI incidence,BE,2025-08-24,2025-W34,68.2
ILI incidence,BE,2025-08-17,2025-W33,46.2
ILI incidence,BE,2025-08-10,2025-W32,55.2
ILI incidence,BE,2025-08-03,2025-W31,28.8
ILI incidence,BE,2025-07-27,2025-W30,29.4
ILI incidence,BE,2025-07-20,2025-W29,80.9
ILI incidence,BE,2025-07-13,2025-W28,34.6
ILI incidence,BE,2025-07-06,2025-W27,22.1
ILI incidence,BE,2025-06-29,2025-W26,48.1
ILI incidence,BE,2025-06-22,2025-W25,45.3
ILI incidence,BE,2025-06-15,2025-W24,38.0
ILI incidence,BE,2025-06-08,2025-W23,60.1
ILI incidence,BE,2025-06-01,2025-W22,30.6
ILI incidence,BE,2025-05-25,2025-W21,36.2
ILI incidence,BE,2025-05-18,2025-W20,57.8
ILI incidence,BE,2025-05-11,2025-W19,50.6
ILI incidence,BE,2025-05-04,2025-W18,36.0
ILI incidence,BE,2025-04-27,2025-W17,67.9
ILI incidence,BE,2025-04-20,2025-W16,29.7
ILI incidence,BE,2025-04-13,2025-W15,62.8
ILI incidence,BE,2025-04-06,2025-W14,103.3
ILI incidence,BE,2025-03-30,2025-W13,126.9
ILI incidence,BE,2025-03-23,2025-W12,162.2
ILI incidence,BE,2025-03-16,2025-W11,205.2
ILI incidence,BE,2025-03-09,2025-W10,288.0
ILI incidence,BE,2025-03-02,2025-W09,522.3
ILI incidence,BE,2025-02-23,2025-W08,739.7
ILI incidence,BE,2025-02-16,2025-W07,901.4
ILI incidence,BE,2025-02-09,2025-W06,863.1
ILI incidence,BE,2025-02-02,2025-W05,1241.2
ILI incidence,BE,2025-01-26,2025-W04,1249.0
ILI incidence,BE,2025-01-19,2025-W03,786.7
ILI incidence,BE,2025-01-12,2025-W02,673.9
ILI incidence,BE,2025-01-05,2025-W01,421.3
ILI incidence,BE,2024-12-29,2024-W52,356.0
ILI incidence,BE,2024-12-22,2024-W51,243.3
ILI incidence,BE,2024-12-15,2024-W50,258.3
ILI incidence,BE,2024-12-08,2024-W49,174.4
ILI incidence,BE,2024-12-01,2024-W48,122.7
ILI incidence,BE,2024-11-24,2024-W47,80.0
ILI incidence,BE,2024-11-17,2024-W46,70.2
ILI incidence,BE,2024-11-10,2024-W45,92.4
ILI incidence,BE,2024-11-03,2024-W44,48.6
ILI incidence,BE,2024-10-27,2024-W43,99.1
ILI incidence,BE,2024-10-20,2024-W42,157.7
ILI incidence,BE,2024-10-13,2024-W41,189.9
ILI incidence,BE,2024-10-06,2024-W40,188.5
ILI incidence,BE,2024-09-29,2024-W39,146.3
ILI incidence,BE,2024-09-22,2024-W38,162.8
ILI incidence,BE,2024-09-15,2024-W37,72.4
ILI incidence,BE,2024-09-08,2024-W36,60.4
ILI incidence,BE,2024-09-01,2024-W35,42.3
ILI incidence,BE,2024-08-25,2024-W34,44.6
ILI incidence,BE,2024-08-18,2024-W33,63.7
ILI incidence,BE,2024-08-11,2024-W32,44.7
ILI incidence,BE,2024-08-04,2024-W31,68.7
ILI incidence,BE,2024-07-28,2024-W30,62.3
ILI incidence,BE,2024-07-21,2024-W29,97.8
ILI incidence,BE,2024-07-14,2024-W28,54.5
ILI incidence,BE,2024-07-07,2024-W27,79.0
ILI incidence,BE,2024-06-30,2024-W26,84.2
ILI incidence,BE,2024-06-23,2024-W25,80.2
ILI incidence,BE,2024-06-16,2024-W24,57.3
ILI incidence,BE,2024-06-09,2024-W23,31.9
ILI incidence,BE,2024-06-02,2024-W22,22.1
ILI incidence,BE,2024-05-26,2024-W21,52.4
ILI incidence,BE,2024-05-19,2024-W20,32.4
ILI incidence,BE,2024-05-12,2024-W19,20.0
ILI incidence,BE,2024-05-05,2024-W18,35.5
ILI incidence,BE,2024-04-28,2024-W17,20.6
ILI incidence,BE,2024-04-21,2024-W16,55.4
ILI incidence,BE,2024-04-14,2024-W15,44.1
ILI incidence,BE,2024-04-07,2024-W14,97.6
ILI incidence,BE,2024-03-31,2024-W13,97.5
ILI incidence,BE,2024-03-24,2024-W12,77.5
ILI incidence,BE,2024-03-17,2024-W11,157.9
ILI incidence,BE,2024-03-10,2024-W10,128.8
ILI incidence,BE,2024-03-03,2024-W09,241.1
ILI incidence,BE,2024-02-25,2024-W08,339.3
ILI incidence,BE,2024-02-18,2024-W07,297.2
ILI incidence,BE,2024-02-11,2024-W06,581.0
ILI incidence,BE,2024-02-04,2024-W05,605.6
ILI incidence,BE,2024-01-28,2024-W04,648.2
ILI incidence,BE,2024-01-21,2024-W03,340.4
ILI incidence,BE,2024-01-14,2024-W02,304.4
ILI incidence,BE,2024-01-07,2024-W01,250.8
ILI incidence,BE,2023-12-31,2023-W52,225.0
ILI incidence,BE,2023-12-24,2023-W51,477.8
ILI incidence,BE,2023-12-17,2023-W50,399.9
ILI incidence,BE,2023-12-10,2023-W49,254.5
ILI incidence,BE,2023-12-03,2023-W48,241.8
ILI incidence,BE,2023-11-26,2023-W47,213.8
ILI incidence,BE,2023-11-19,2023-W46,179.8
ILI incidence,BE,2023-11-12,2023-W45,176.3
ILI incidence,BE,2023-11-05,2023-W44,153.0
ILI incidence,BE,2023-10-29,2023-W43,72.0
ILI incidence,BE,2023-10-22,2023-W42,150.1
ILI incidence,BE,2023-10-15,2023-W41,142.7
ILI incidence,BE,2023-10-08,2023-W40,146.3
ILI incidence,BE,2023-10-01,2023-W39,140.0
ILI incidence,BE,2023-09-24,2023-W38,144.0
ILI incidence,BE,2023-09-17,2023-W37,144.2
ILI incidence,BE,2023-09-10,2023-W36,136.6
ILI incidence,BE,2023-09-03,2023-W35,77.5
ILI incidence,BE,2023-08-27,2023-W34,82.9
ILI incidence,BE,2023-08-20,2023-W33,83.3
ILI incidence,BE,2023-08-13,2023-W32,86.8
ILI incidence,BE,2023-08-06,2023-W31,56.1
ILI incidence,BE,2023-07-30,2023-W30,34.7
ILI incidence,BE,2023-07-23,2023-W29,29.8
ILI incidence,BE,2023-07-16,2023-W28,11.7
ILI incidence,BE,2023-07-09,2023-W27,47.9
ILI incidence,BE,2023-07-02,2023-W26,26.8
ILI incidence,BE,2023-06-25,2023-W25,37.6
ILI incidence,BE,2023-06-18,2023-W24,31.9
ILI incidence,BE,2023-06-11,2023-W23,54.4
ILI incidence,BE,2023-06-04,2023-W22,41.6
ILI incidence,BE,2023-05-28,2023-W21,64.6
ILI incidence,BE,2023-05-21,2023-W20,40.8
ILI incidence,BE,2023-05-14,2023-W19,62.8
ILI incidence,BE,2023-05-07,2023-W18,45.2
ILI incidence,BE,2023-04-30,2023-W17,34.1
ILI incidence,BE,2023-04-23,2023-W16,93.9
ILI incidence,BE,2023-04-16,2023-W15,65.5
ILI incidence,BE,2023-04-09,2023-W14,118.8
ILI incidence,BE,2023-04-02,2023-W13,242.2
ILI incidence,BE,2023-03-26,2023-W12,291.6
ILI incidence,BE,2023-03-19,2023-W11,226.9
ILI incidence,BE,2023-03-12,2023-W10,313.9
ILI incidence,BE,2023-03-05,2023-W09,298.1
ILI incidence,BE,2023-02-26,2023-W08,299.9
ILI incidence,BE,2023-02-19,2023-W07,491.1
ILI incidence,BE,2023-02-12,2023-W06,465.3
ILI incidence,BE,2023-02-05,2023-W05,497.0
ILI incidence,BE,2023-01-29,2023-W04,335.1
ILI incidence,BE,2023-01-22,2023-W03,320.0
ILI incidence,BE,2023-01-15,2023-W02,403.6
ILI incidence,BE,2023-01-08,2023-W01,602.1
ILI incidence,BE,2023-01-01,2022-W52,662.6
ILI incidence,BE,2022-12-25,2022-W51,763.6
ILI incidence,BE,2022-12-18,2022-W50,560.7
ILI incidence,BE,2022-12-11,2022-W49,219.0
ILI incidence,BE,2022-12-04,2022-W48,186.4
ILI incidence,BE,2022-11-27,2022-W47,165.9
ILI incidence,BE,2022-11-20,2022-W46,120.7
ILI incidence,BE,2022-11-13,2022-W45,82.5
ILI incidence,BE,2022-11-06,2022-W44,64.2
ILI incidence,BE,2022-10-30,2022-W43,80.4
ILI incidence,BE,2022-10-23,2022-W42,149.1
ILI incidence,BE,2022-10-16,2022-W41,124.2
ILI incidence,BE,2022-10-09,2022-W40,174.9
ILI incidence,BE,2022-10-02,2022-W39,158.4
ILI incidence,BE,2022-09-25,2022-W38,175.6
ILI incidence,BE,2022-09-18,2022-W37,104.4
ILI incidence,BE,2022-09-11,2022-W36,44.3
ILI incidence,BE,2022-09-04,2022-W35,79.3
ILI incidence,BE,2022-08-28,2022-W34,76.2
ILI incidence,BE,2022-08-21,2022-W33,57.5
ILI incidence,BE,2022-08-14,2022-W32,79.5
ILI incidence,BE,2022-08-07,2022-W31,91.5
ILI incidence,BE,2022-07-31,2022-W30,114.3
ILI incidence,BE,2022-07-24,2022-W29,57.5
ILI incidence,BE,2022-07-17,2022-W28,76.2
ILI incidence,BE,2022-07-10,2022-W27,127.6
ILI incidence,BE,2022-07-03,2022-W26,167.5
ILI incidence,BE,2022-06-26,2022-W25,146.0
ILI incidence,BE,2022-06-19,2022-W24,106.3
ILI incidence,BE,2022-06-12,2022-W23,55.2
ILI incidence,BE,2022-06-05,2022-W22,53.4
ILI incidence,BE,2022-05-29,2022-W21,52.4
ILI incidence,BE,2022-05-22,2022-W20,88.4
ILI incidence,BE,2022-05-15,2022-W19,205.0
ILI incidence,BE,2022-05-08,2022-W18,151.2
ILI incidence,BE,2022-05-01,2022-W17,232.7
ILI incidence,BE,2022-04-24,2022-W16,214.2
ILI incidence,BE,2022-04-17,2022-W15,307.0
ILI incidence,BE,2022-04-10,2022-W14,426.2
ILI incidence,BE,2022-04-03,2022-W13,806.8
ILI incidence,BE,2022-03-27,2022-W12,741.6
ILI incidence,BE,2022-03-20,2022-W11,482.0
ILI incidence,BE,2022-03-13,2022-W10,436.5
ILI incidence,BE,2022-03-06,2022-W09,261.3
ILI incidence,BE,2022-02-27,2022-W08,195.6
ILI incidence,BE,2022-02-20,2022-W07,242.9
ILI incidence,BE,2022-02-13,2022-W06,230.5
ILI incidence,BE,2022-02-06,2022-W05,388.6
ILI incidence,BE,2022-01-30,2022-W04,570.8
ILI incidence,BE,2022-01-23,2022-W03,596.9
ILI incidence,BE,2022-01-16,2022-W02,341.2
ILI incidence,BE,2022-01-09,2022-W01,174.9
ILI incidence,BE,2022-01-02,2021-W52,173.2
ILI incidence,BE,2021-12-26,2021-W51,120.7
ILI incidence,BE,2021-12-19,2021-W50,142.3
ILI incidence,BE,2021-12-12,2021-W49,270.5
ILI incidence,BE,2021-12-05,2021-W48,417.9
ILI incidence,BE,2021-11-28,2021-W47,382.7
ILI incidence,BE,2021-11-21,2021-W46,230.7
ILI incidence,BE,2021-11-14,2021-W45,285.0
ILI incidence,BE,2021-11-07,2021-W44,273.9
ILI incidence,BE,2021-10-31,2021-W43,155.6
ILI incidence,BE,2021-10-24,2021-W42,175.2
ILI incidence,BE,2021-10-17,2021-W41,91.6
ILI incidence,BE,2021-10-10,2021-W40,100.0
ILI incidence,BE,2021-10-03,2021-W39,116.4
ILI incidence,BE,2021-09-26,2021-W38,70.8
ILI incidence,BE,2021-09-19,2021-W37,82.8
ILI incidence,BE,2021-09-12,2021-W36,53.1
ILI incidence,BE,2021-09-05,2021-W35,38.4
ILI incidence,BE,2021-08-29,2021-W34,70.1
ILI incidence,BE,2021-08-22,2021-W33,36.9
ILI incidence,BE,2021-08-15,2021-W32,36.0
ILI incidence,BE,2021-08-08,2021-W31,41.0
ILI incidence,BE,2021-08-01,2021-W30,39.2
ILI incidence,BE,2021-07-25,2021-W29,28.2
ILI incidence,BE,2021-07-18,2021-W28,24.2
ILI incidence,BE,2021-07-11,2021-W27,29.6
ILI incidence,BE,2021-07-04,2021-W26,18.4
ILI incidence,BE,2021-06-27,2021-W25,26.7
ILI incidence,HR,2026-02-15,2026-W07,6.0
ILI incidence,HR,2026-02-08,2026-W06,10.1
ILI incidence,HR,2026-02-01,2026-W05,17.1
ILI incidence,HR,2026-01-25,2026-W04,26.2
ILI incidence,HR,2026-01-18,2026-W03,38.3
ILI incidence,HR,2026-01-11,2026-W02,54.4
ILI incidence,HR,2026-01-04,2026-W01,97.1
ILI incidence,HR,2025-12-28,2025-W52,122.0
ILI incidence,HR,2025-12-21,2025-W51,260.4
ILI incidence,HR,2025-12-14,2025-W50,182.5
ILI incidence,HR,2025-12-07,2025-W49,85.4
ILI incidence,HR,2025-11-30,2025-W48,31.9
ILI incidence,HR,2025-11-23,2025-W47,20.2
ILI incidence,HR,2025-11-16,2025-W46,14.3
ILI incidence,HR,2025-11-09,2025-W45,10.3
ILI incidence,HR,2025-11-02,2025-W44,6.9
ILI incidence,HR,2025-10-26,2025-W43,4.4
ILI incidence,HR,2025-10-19,2025-W42,2.7
ILI incidence,HR,2025-10-12,2025-W41,1.2
ILI incidence,HR,2025-10-05,2025-W40,1.0
ILI incidence,HR,2025-09-21,2025-W38,1.1
ILI incidence,HR,2025-09-14,2025-W37,0.9
ILI incidence,HR,2025-09-07,2025-W36,0.6
ILI incidence,HR,2025-08-31,2025-W35,0.6
ILI incidence,HR,2025-08-24,2025-W34,0.7
ILI incidence,HR,2025-08-17,2025-W33,0.2
ILI incidence,HR,2025-08-10,2025-W32,0.1
ILI incidence,HR,2025-08-03,2025-W31,0.2
ILI incidence,HR,2025-07-27,2025-W30,0.2
ILI incidence,HR,2025-07-20,2025-W29,0.2
ILI incidence,HR,2025-07-13,2025-W28,0.0
ILI incidence,HR,2025-07-06,2025-W27,0.1
ILI incidence,HR,2025-06-29,2025-W26,0.1
ILI incidence,HR,2025-06-22,2025-W25,0.1
ILI incidence,HR,2025-06-15,2025-W24,0.1
ILI incidence,HR,2025-06-08,2025-W23,0.3
ILI incidence,HR,2025-06-01,2025-W22,0.2
ILI incidence,HR,2025-05-25,2025-W21,0.1
ILI incidence,HR,2025-05-18,2025-W20,0.6
ILI incidence,HR,2025-05-04,2025-W18,0.4
ILI incidence,HR,2025-04-27,2025-W17,1.9
ILI incidence,HR,2025-04-20,2025-W16,2.7
ILI incidence,HR,2025-04-13,2025-W15,3.6
ILI incidence,HR,2025-04-06,2025-W14,6.8
ILI incidence,HR,2025-03-30,2025-W13,12.3
ILI incidence,HR,2025-03-23,2025-W12,20.4
ILI incidence,HR,2025-03-16,2025-W11,39.3
ILI incidence,HR,2025-03-09,2025-W10,56.1
ILI incidence,HR,2025-03-02,2025-W09,92.9
ILI incidence,HR,2025-02-23,2025-W08,120.2
ILI incidence,HR,2025-02-16,2025-W07,130.5
ILI incidence,HR,2025-02-09,2025-W06,136.5
ILI incidence,HR,2025-02-02,2025-W05,171.4
ILI incidence,HR,2025-01-26,2025-W04,152.7
ILI incidence,HR,2025-01-19,2025-W03,75.5
ILI incidence,HR,2025-01-12,2025-W02,37.7
ILI incidence,HR,2025-01-05,2025-W01,12.5
ILI incidence,HR,2024-12-29,2024-W52,4.9
ILI incidence,HR,2024-12-22,2024-W51,3.6
ILI incidence,HR,2024-12-15,2024-W50,1.7
ILI incidence,HR,2024-12-08,2024-W49,0.9
ILI incidence,HR,2024-12-01,2024-W48,0.6
ILI incidence,HR,2024-11-24,2024-W47,0.7
ILI incidence,HR,2024-11-17,2024-W46,0.4
ILI incidence,HR,2024-11-10,2024-W45,0.4
ILI incidence,HR,2024-11-03,2024-W44,0.6
ILI incidence,HR,2024-10-27,2024-W43,0.5
ILI incidence,HR,2024-10-20,2024-W42,0.5
ILI incidence,HR,2024-10-13,2024-W41,0.5
ILI incidence,HR,2024-10-06,2024-W40,0.2
ILI incidence,HR,2024-09-22,2024-W38,0.3
ILI incidence,HR,2024-09-15,2024-W37,0.2
ILI incidence,HR,2024-09-08,2024-W36,0.2
ILI incidence,HR,2024-09-01,2024-W35,0.0
ILI incidence,HR,2024-08-25,2024-W34,0.2
ILI incidence,HR,2024-08-18,2024-W33,0.1
ILI incidence,HR,2024-08-11,2024-W32,0.3
ILI incidence,HR,2024-08-04,2024-W31,0.1
ILI incidence,HR,2024-07-28,2024-W30,0.3
ILI incidence,HR,2024-07-21,2024-W29,0.1
ILI incidence,HR,2024-07-14,2024-W28,0.1
ILI incidence,HR,2024-07-07,2024-W27,0.1
ILI incidence,HR,2024-06-30,2024-W26,0.3
ILI incidence,HR,2024-06-23,2024-W25,1.4
ILI incidence,HR,2024-06-16,2024-W24,0.2
ILI incidence,HR,2024-06-09,2024-W23,0.3
ILI incidence,HR,2024-06-02,2024-W22,0.2
ILI incidence,HR,2024-05-26,2024-W21,0.2
ILI incidence,HR,2024-05-19,2024-W20,0.4
ILI incidence,HR,2024-05-12,2024-W19,0.5
ILI incidence,HR,2024-05-05,2024-W18,0.6
ILI incidence,HR,2024-04-28,2024-W17,0.6
ILI incidence,HR,2024-04-21,2024-W16,0.5
ILI incidence,HR,2024-04-14,2024-W15,0.5
ILI incidence,HR,2024-04-07,2024-W14,0.5
ILI incidence,HR,2024-03-31,2024-W13,1.1
ILI incidence,HR,2024-03-24,2024-W12,0.6
ILI incidence,HR,2024-03-17,2024-W11,4.2
ILI incidence,HR,2024-03-10,2024-W10,5.0
ILI incidence,HR,2024-03-03,2024-W09,11.1
ILI incidence,HR,2024-02-25,2024-W08,22.4
ILI incidence,HR,2024-02-18,2024-W07,46.0
ILI incidence,HR,2024-02-11,2024-W06,85.5
ILI incidence,HR,2024-02-04,2024-W05,86.7
ILI incidence,HR,2024-01-28,2024-W04,75.9
ILI incidence,HR,2024-01-21,2024-W03,54.3
ILI incidence,HR,2024-01-14,2024-W02,28.2
ILI incidence,HR,2024-01-07,2024-W01,18.3
ILI incidence,HR,2023-12-31,2023-W52,10.6
ILI incidence,HR,2023-12-24,2023-W51,8.0
ILI incidence,HR,2023-12-17,2023-W50,2.7
ILI incidence,HR,2023-12-10,2023-W49,0.9
ILI incidence,HR,2023-12-03,2023-W48,0.4
ILI incidence,HR,2023-11-26,2023-W47,0.3
ILI incidence,HR,2023-11-19,2023-W46,0.2
ILI incidence,HR,2023-11-12,2023-W45,0.2
ILI incidence,HR,2023-11-05,2023-W44,0.2
ILI incidence,HR,2023-10-29,2023-W43,0.3
ILI incidence,HR,2023-10-22,2023-W42,0.2
ILI incidence,HR,2023-10-15,2023-W41,0.2
ILI incidence,HR,2023-10-08,2023-W40,0.2
ILI incidence,HR,2023-09-03,2023-W35,0.4
ILI incidence,HR,2023-07-30,2023-W30,0.1
ILI incidence,HR,2023-07-02,2023-W26,0.6
ILI incidence,HR,2023-05-21,2023-W20,0.3
ILI incidence,HR,2023-05-14,2023-W19,0.5
ILI incidence,HR,2023-05-07,2023-W18,1.7
ILI incidence,HR,2023-04-30,2023-W17,1.5
ILI incidence,HR,2023-04-23,2023-W16,4.4
ILI incidence,HR,2023-04-16,2023-W15,6.8
ILI incidence,HR,2023-04-09,2023-W14,9.2
ILI incidence,HR,2023-04-02,2023-W13,12.6
ILI incidence,HR,2023-03-26,2023-W12,19.7
ILI incidence,HR,2023-03-19,2023-W11,24.0
ILI incidence,HR,2023-03-12,2023-W10,31.9
ILI incidence,HR,2023-03-05,2023-W09,57.1
ILI incidence,HR,2023-02-26,2023-W08,72.8
ILI incidence,HR,2023-02-19,2023-W07,89.4
ILI incidence,HR,2023-02-12,2023-W06,90.7
ILI incidence,HR,2023-02-05,2023-W05,102.1
ILI incidence,HR,2023-01-29,2023-W04,100.4
ILI incidence,HR,2023-01-22,2023-W03,101.9
ILI incidence,HR,2023-01-15,2023-W02,92.8
ILI incidence,HR,2023-01-08,2023-W01,52.5
